index,key,scenario,algorithm,experiment,file,ext
840,passing_DWA_experiment_1,passing,DWA,1,passing/DWA/experiment_1.mp4,mp4
841,passing_DWA_experiment_2,passing,DWA,2,passing/DWA/experiment_2.mp4,mp4
842,passing_DWA_experiment_3,passing,DWA,3,passing/DWA/experiment_3.mp4,mp4
843,passing_DWA_experiment_4,passing,DWA,4,passing/DWA/experiment_4.mp4,mp4
844,passing_DWA_experiment_5,passing,DWA,5,passing/DWA/experiment_5.mp4,mp4
845,passing_DWAsocialcostmap_experiment_1,passing,DWAsocialcostmap,1,passing/DWAsocialcostmap/experiment_1.mp4,mp4
846,passing_DWAsocialcostmap_experiment_2,passing,DWAsocialcostmap,2,passing/DWAsocialcostmap/experiment_2.mp4,mp4
847,passing_DWAsocialcostmap_experiment_3,passing,DWAsocialcostmap,3,passing/DWAsocialcostmap/experiment_3.mp4,mp4
848,passing_DWAsocialcostmap_experiment_4,passing,DWAsocialcostmap,4,passing/DWAsocialcostmap/experiment_4.mp4,mp4
849,passing_DWAsocialcostmap_experiment_5,passing,DWAsocialcostmap,5,passing/DWAsocialcostmap/experiment_5.mp4,mp4
850,passing_SFM_experiment_1,passing,SFM,1,passing/SFM/experiment_1.mp4,mp4
851,passing_SFM_experiment_2,passing,SFM,2,passing/SFM/experiment_2.mp4,mp4
852,passing_SFM_experiment_3,passing,SFM,3,passing/SFM/experiment_3.mp4,mp4
853,passing_SFM_experiment_4,passing,SFM,4,passing/SFM/experiment_4.mp4,mp4
854,passing_SFM_experiment_5,passing,SFM,5,passing/SFM/experiment_5.mp4,mp4
855,passing_MPPI_experiment_1,passing,MPPI,1,passing/MPPI/experiment_1.mp4,mp4
856,passing_MPPI_experiment_2,passing,MPPI,2,passing/MPPI/experiment_2.mp4,mp4
857,passing_MPPI_experiment_3,passing,MPPI,3,passing/MPPI/experiment_3.mp4,mp4
858,passing_MPPI_experiment_4,passing,MPPI,4,passing/MPPI/experiment_4.mp4,mp4
859,passing_MPPI_experiment_5,passing,MPPI,5,passing/MPPI/experiment_5.mp4,mp4
860,passing_MPPIsocialcostmap_experiment_1,passing,MPPIsocialcostmap,1,passing/MPPIsocialcostmap/experiment_1.mp4,mp4
861,passing_MPPIsocialcostmap_experiment_2,passing,MPPIsocialcostmap,2,passing/MPPIsocialcostmap/experiment_2.mp4,mp4
862,passing_MPPIsocialcostmap_experiment_3,passing,MPPIsocialcostmap,3,passing/MPPIsocialcostmap/experiment_3.mp4,mp4
863,passing_MPPIsocialcostmap_experiment_4,passing,MPPIsocialcostmap,4,passing/MPPIsocialcostmap/experiment_4.mp4,mp4
864,passing_MPPIsocialcostmap_experiment_5,passing,MPPIsocialcostmap,5,passing/MPPIsocialcostmap/experiment_5.mp4,mp4
865,passing_socialMPPI_experiment_1,passing,socialMPPI,1,passing/socialMPPI/experiment_1.mp4,mp4
866,passing_socialMPPI_experiment_2,passing,socialMPPI,2,passing/socialMPPI/experiment_2.mp4,mp4
867,passing_socialMPPI_experiment_3,passing,socialMPPI,3,passing/socialMPPI/experiment_3.mp4,mp4
868,passing_socialMPPI_experiment_4,passing,socialMPPI,4,passing/socialMPPI/experiment_4.mp4,mp4
869,passing_socialMPPI_experiment_5,passing,socialMPPI,5,passing/socialMPPI/experiment_5.mp4,mp4
870,passing_ORCA_experiment_1,passing,ORCA,1,passing/ORCA/experiment_1.mp4,mp4
871,passing_ORCA_experiment_2,passing,ORCA,2,passing/ORCA/experiment_2.mp4,mp4
872,passing_ORCA_experiment_3,passing,ORCA,3,passing/ORCA/experiment_3.mp4,mp4
873,passing_ORCA_experiment_4,passing,ORCA,4,passing/ORCA/experiment_4.mp4,mp4
874,passing_ORCA_experiment_5,passing,ORCA,5,passing/ORCA/experiment_5.mp4,mp4
875,passing_PURE_SFM_experiment_1,passing,PURE_SFM,1,passing/PURE_SFM/experiment_1.mp4,mp4
876,passing_PURE_SFM_experiment_2,passing,PURE_SFM,2,passing/PURE_SFM/experiment_2.mp4,mp4
877,passing_PURE_SFM_experiment_3,passing,PURE_SFM,3,passing/PURE_SFM/experiment_3.mp4,mp4
878,passing_PURE_SFM_experiment_4,passing,PURE_SFM,4,passing/PURE_SFM/experiment_4.mp4,mp4
879,passing_PURE_SFM_experiment_5,passing,PURE_SFM,5,passing/PURE_SFM/experiment_5.mp4,mp4
880,overtaking_DWA_experiment_2,overtaking,DWA,2,overtaking/DWA/experiment_2.mp4,mp4
881,overtaking_DWA_experiment_3,overtaking,DWA,3,overtaking/DWA/experiment_3.mp4,mp4
882,overtaking_DWA_experiment_5,overtaking,DWA,5,overtaking/DWA/experiment_5.mp4,mp4
883,overtaking_DWAsocialcostmap_experiment_1,overtaking,DWAsocialcostmap,1,overtaking/DWAsocialcostmap/experiment_1.mp4,mp4
884,overtaking_DWAsocialcostmap_experiment_2,overtaking,DWAsocialcostmap,2,overtaking/DWAsocialcostmap/experiment_2.mp4,mp4
885,overtaking_DWAsocialcostmap_experiment_3,overtaking,DWAsocialcostmap,3,overtaking/DWAsocialcostmap/experiment_3.mp4,mp4
886,overtaking_DWAsocialcostmap_experiment_4,overtaking,DWAsocialcostmap,4,overtaking/DWAsocialcostmap/experiment_4.mp4,mp4
887,overtaking_DWAsocialcostmap_experiment_5,overtaking,DWAsocialcostmap,5,overtaking/DWAsocialcostmap/experiment_5.mp4,mp4
888,overtaking_SFM_experiment_1,overtaking,SFM,1,overtaking/SFM/experiment_1.mp4,mp4
889,overtaking_SFM_experiment_3,overtaking,SFM,3,overtaking/SFM/experiment_3.mp4,mp4
890,overtaking_MPPI_experiment_1,overtaking,MPPI,1,overtaking/MPPI/experiment_1.mp4,mp4
891,overtaking_MPPI_experiment_2,overtaking,MPPI,2,overtaking/MPPI/experiment_2.mp4,mp4
892,overtaking_MPPI_experiment_3,overtaking,MPPI,3,overtaking/MPPI/experiment_3.mp4,mp4
893,overtaking_MPPI_experiment_4,overtaking,MPPI,4,overtaking/MPPI/experiment_4.mp4,mp4
894,overtaking_MPPI_experiment_5,overtaking,MPPI,5,overtaking/MPPI/experiment_5.mp4,mp4
895,overtaking_MPPIsocialcostmap_experiment_1,overtaking,MPPIsocialcostmap,1,overtaking/MPPIsocialcostmap/experiment_1.mp4,mp4
896,overtaking_MPPIsocialcostmap_experiment_2,overtaking,MPPIsocialcostmap,2,overtaking/MPPIsocialcostmap/experiment_2.mp4,mp4
897,overtaking_MPPIsocialcostmap_experiment_3,overtaking,MPPIsocialcostmap,3,overtaking/MPPIsocialcostmap/experiment_3.mp4,mp4
898,overtaking_MPPIsocialcostmap_experiment_4,overtaking,MPPIsocialcostmap,4,overtaking/MPPIsocialcostmap/experiment_4.mp4,mp4
899,overtaking_MPPIsocialcostmap_experiment_5,overtaking,MPPIsocialcostmap,5,overtaking/MPPIsocialcostmap/experiment_5.mp4,mp4
900,overtaking_socialMPPI_experiment_1,overtaking,socialMPPI,1,overtaking/socialMPPI/experiment_1.mp4,mp4
901,overtaking_socialMPPI_experiment_2,overtaking,socialMPPI,2,overtaking/socialMPPI/experiment_2.mp4,mp4
902,overtaking_socialMPPI_experiment_3,overtaking,socialMPPI,3,overtaking/socialMPPI/experiment_3.mp4,mp4
903,overtaking_ORCA_experiment_1,overtaking,ORCA,1,overtaking/ORCA/experiment_1.mp4,mp4
904,overtaking_ORCA_experiment_2,overtaking,ORCA,2,overtaking/ORCA/experiment_2.mp4,mp4
905,overtaking_ORCA_experiment_3,overtaking,ORCA,3,overtaking/ORCA/experiment_3.mp4,mp4
906,overtaking_ORCA_experiment_4,overtaking,ORCA,4,overtaking/ORCA/experiment_4.mp4,mp4
907,overtaking_ORCA_experiment_5,overtaking,ORCA,5,overtaking/ORCA/experiment_5.mp4,mp4
908,overtaking_PURE_SFM_experiment_1,overtaking,PURE_SFM,1,overtaking/PURE_SFM/experiment_1.mp4,mp4
909,overtaking_PURE_SFM_experiment_2,overtaking,PURE_SFM,2,overtaking/PURE_SFM/experiment_2.mp4,mp4
